iter	Accuracy	MultiClass
0	0.4962017113	1.089730266
1	0.502205782	1.081108249
2	0.5070273696	1.073362157
3	0.5136965145	1.065404518
4	0.5106474956	1.058389409
5	0.5118057143	1.052226728
6	0.5130700426	1.047134643
7	0.5117571943	1.041395856
8	0.5135783156	1.036401349
9	0.5140686053	1.032327765
10	0.5148185833	1.02846661
11	0.5149777452	1.024831106
12	0.5177286712	1.020935294
13	0.5159826611	1.017304673
14	0.5188279459	1.014042171
15	0.5194262262	1.010784814
16	0.5213092838	1.007539893
17	0.5216132058	1.004878889
18	0.5221531266	1.002536226
19	0.5229492494	0.9998228365
20	0.5231639341	0.997553952
21	0.5239663499	0.9951234758
22	0.5248667614	0.9932230264
23	0.5247165436	0.9912442871
24	0.5253589322	0.9892572823
25	0.5255126664	0.9877300135
26	0.5243437129	0.9857780573
27	0.52475547	0.9840905708
28	0.5257123599	0.9827340753
29	0.524696185	0.98120431
30	0.5240662267	0.9794559063
31	0.5257132854	0.9781769498
32	0.5254897169	0.9768708039
33	0.5275759242	0.9754663958
34	0.5273099429	0.9739382763
35	0.5274671936	0.9727070455
36	0.5272445505	0.9717493758
37	0.5280954864	0.9705636198
38	0.5303813871	0.9695010889
39	0.5296082439	0.9682601222
40	0.5292203919	0.9672045188
41	0.5311334017	0.9659937993
42	0.5312526816	0.9649411988
43	0.5317987398	0.9640550277
44	0.5324755828	0.9630469017
45	0.5331064666	0.9622079213
46	0.5326708043	0.9613735083
47	0.5353914418	0.9605206803
48	0.5357996825	0.9597107513
49	0.5354807092	0.958744587
50	0.5362971906	0.9578642195
51	0.5372055605	0.9571961576
52	0.5368362161	0.9566198315
53	0.5367628654	0.9561988061
54	0.5374511831	0.9557158737
55	0.5382243263	0.9552140564
56	0.5380352122	0.9546519577
57	0.5375739794	0.9537215477
58	0.5385017823	0.9529415013
59	0.5393942054	0.9524563711
60	0.5388940763	0.9515828218
61	0.5380431404	0.9508128744
62	0.5378549518	0.9503844188
63	0.5389744899	0.9497700839
64	0.5372302055	0.9491863531
65	0.5383436062	0.9483903797
66	0.5394366483	0.9479784471
67	0.5407832713	0.9473130786
68	0.5397211672	0.9468525164
69	0.5409803438	0.9461830454
70	0.5419955631	0.9457702383
71	0.5434005155	0.9453597446
72	0.5437778183	0.9448307743
73	0.5445818995	0.9444859133
74	0.5454902693	0.9439589571
75	0.5472221534	0.9432843668
76	0.5469182014	0.9427983654
77	0.5460831822	0.9424202441
78	0.5467459295	0.9417283616
79	0.5482622034	0.9411394705
80	0.5485581971	0.9405375045
81	0.5497475394	0.9401849916
