iter	Passed	Remaining
0	94	94172
1	159	79721
2	236	78498
3	321	80111
4	398	79278
5	467	77382
6	532	75539
7	604	74941
8	671	73979
9	738	73080
10	810	72885
11	881	72574
12	948	72033
13	1017	71648
14	1084	71202
15	1168	71883
16	1271	73525
17	1335	72881
18	1386	71599
19	1442	70701
20	1506	70216
21	1568	69739
22	1631	69314
23	1693	68888
24	1758	68566
25	1827	68477
26	1906	68696
27	1983	68844
28	2062	69074
29	2132	68945
30	2214	69220
31	2286	69173
32	2357	69093
33	2433	69143
34	2506	69121
35	2582	69140
36	2655	69112
37	2729	69109
38	2801	69038
39	2880	69120
40	2955	69137
41	3032	69167
42	3100	69011
43	3166	68803
44	3236	68683
45	3317	68797
46	3389	68732
47	3472	68875
48	3540	68721
49	3620	68796
50	3696	68776
51	3773	68799
52	3841	68636
53	3906	68444
54	3975	68301
55	4035	68034
56	4102	67875
57	4164	67632
58	4228	67442
59	4295	67296
60	4363	67169
61	4434	67082
62	4498	66909
63	4557	66655
64	4627	66571
65	4702	66553
66	4790	66716
67	4863	66664
68	4940	66658
69	5010	66572
70	5089	66588
71	5162	66536
72	5227	66379
73	5298	66296
74	5381	66375
75	5454	66315
76	5530	66299
77	5625	66499
78	5699	66444
79	5774	66403
80	5870	66610
81	5949	66602
