Manager_Name,preferred_formation,profile,team_style,pressing_intensity,defensive_line
Abdel Bouhazama,3-4-2-1,attacking,possession,0.81,high
Abdoulay Konko,4-1-4-1,defensive,pragmatic,0.43,medium
Adi Hütter,3-4-2-1,attacking,gegenpress,0.82,high
Ahmed Kantari,4-2-3-1,defensive,pragmatic,0.32,medium
Aitor Karanka,4-2-3-1,defensive,pragmatic,0.36,low
Alberto Gallego,4-4-2,defensive,counter,0.39,low
Alberto Gilardino,3-5-2,balanced,flexible,0.63,medium
Alessandro Nesta,5-3-2,balanced,flexible,0.62,medium
Alessio Dionisi,4-2-3-1,attacking,possession,0.74,high
Alexander Schmidt,3-4-3,defensive,counter,0.41,low
Alexander Zorniger,4-1-4-1,balanced,possession,0.6,medium
Andrea Pirlo,4-3-3,balanced,possession,0.62,medium
Andrea Soncin,4-4-2,defensive,direct,0.31,medium
Andreas Patz,3-4-3,balanced,flexible,0.59,medium
Andrew Crofts,3-5-2,defensive,pragmatic,0.34,low
Andriy Shevchenko,4-3-3,balanced,possession,0.71,medium
Ange Postecoglou,4-3-3,attacking,possession,0.88,high
Antoine Kombouaré,4-2-3-1,balanced,flexible,0.71,medium
Aurelio Andreazzoli,4-1-4-1,defensive,pragmatic,0.45,low
Benoît Tavenot,3-5-2,balanced,flexible,0.5,medium
Bruno Grougi,3-4-2-1,balanced,possession,0.57,medium
Bruno Génésio,4-3-3,attacking,possession,0.74,high
Bruno Lage,4-4-2,balanced,flexible,0.53,medium
Carlos Carvalhal,3-4-3,balanced,pragmatic,0.43,medium
Christian Brand,3-4-3,balanced,flexible,0.42,medium
Christian Preußer,3-5-2,attacking,possession,0.88,high
Christoph Dabrowski,3-4-3,defensive,direct,0.49,low
Claude Robin,5-3-2,defensive,counter,0.34,low
Claudio Ranieri,4-4-2,balanced,pragmatic,0.46,medium
Cristian Fiél,4-3-3,balanced,possession,0.55,medium
Daniele Galloppa,4-3-3,balanced,pragmatic,0.67,medium
Danijel Zenkovic,3-4-2-1,balanced,pragmatic,0.62,medium
Danny Galm,4-3-3,balanced,flexible,0.68,medium
David Guion,3-4-3,defensive,pragmatic,0.37,low
Davide Nicola,3-5-2,defensive,counter,0.31,low
Diego Alonso,4-2-3-1,balanced,flexible,0.54,medium
Diego Cocca,4-1-4-1,defensive,pragmatic,0.45,low
Dimitrios Grammozis,5-3-2,balanced,flexible,0.63,medium
Dirk Schuster,4-2-3-1,attacking,possession,0.69,high
Domenico Criscito,4-4-2,attacking,possession,0.82,high
Duncan Ferguson,4-4-2,balanced,direct,0.66,medium
Eirik Horneland,4-3-3,attacking,possession,0.7,high
Enzo Maresca,4-3-3,attacking,possession,0.78,high
Erik ten Hag,4-2-3-1,attacking,possession,0.79,high
Fabian Hürzeler,4-2-3-1,attacking,gegenpress,0.84,high
Fabio Liverani,5-3-2,defensive,pragmatic,0.24,medium
Fabio Pecchia,4-3-3,balanced,possession,0.63,medium
Fabrizio Lorieri,5-3-2,attacking,possession,0.79,high
Fran Escribá,4-4-2,defensive,counter,0.26,low
Francisco Rodríguez,4-3-3,balanced,pragmatic,0.68,medium
Frank Kramer,3-4-3,attacking,possession,0.76,high
Frédéric Antonetti,4-3-3,attacking,possession,0.72,high
Gabriele Cioffi,3-4-3,defensive,counter,0.26,low
Gaizka Garitano,4-2-3-1,defensive,pragmatic,0.38,low
Gennaro Gattuso,4-3-3,balanced,flexible,0.44,medium
Gerhard Kleppinger,4-3-3,defensive,counter,0.32,low
Gerhard Struber,4-4-2,balanced,flexible,0.56,medium
Giovanni Martusciello,4-3-3,attacking,gegenpress,0.69,high
Guillermo Abascal,5-3-2,balanced,flexible,0.56,medium
Gérald Baticle,3-4-3,defensive,counter,0.37,low
Hansi Flick,4-2-3-1,attacking,possession,0.86,high
Heiner Backhaus,3-5-2,attacking,possession,0.68,high
Horst Steffen,4-4-2,balanced,direct,0.45,medium
Igor Tudor,3-4-2-1,attacking,gegenpress,0.8,high
Imanol Alguacil,4-3-3,attacking,gegenpress,0.72,high
Ion Ansotegi,5-3-2,defensive,counter,0.4,medium
Ivan Juric,3-4-2-1,balanced,flexible,0.43,medium
Jacques Abardonado,3-4-2-1,balanced,flexible,0.6,medium
Jagoba Arrasate,4-3-3,balanced,possession,0.47,medium
Jakob Fimpel,3-4-3,defensive,pragmatic,0.37,low
Jamie Collins,3-4-2-1,defensive,counter,0.22,low
Jan Siewert,4-2-3-1,balanced,flexible,0.62,medium
Javier Calleja,4-4-2,balanced,flexible,0.55,medium
Jean-Louis Gasset,3-5-2,balanced,flexible,0.71,medium
Jean-Marc Furlan,4-1-4-1,attacking,possession,0.77,high
Jens Härtel,3-4-3,defensive,pragmatic,0.26,low
Joe Enochs,3-4-2-1,balanced,direct,0.49,medium
Jorge Sampaoli,3-4-2-1,attacking,possession,0.81,high
José Luis Mendilibar,4-4-2,attacking,possession,0.71,high
Julien Sablé,4-2-3-1,balanced,flexible,0.46,medium
Julián Calero,4-2-3-1,attacking,gegenpress,0.87,high
Jürgen Klopp,4-3-3,attacking,gegenpress,0.93,high
Kees van Wonderen,4-2-3-1,balanced,flexible,0.52,medium
Kosta Runjaić,5-3-2,defensive,counter,0.36,low
Ladislau Bölöni,4-4-2,attacking,possession,0.89,high
Laurent Batlles,4-2-3-1,balanced,possession,0.6,medium
Laurent Blanc,4-2-3-1,balanced,flexible,0.47,medium
Leighton Baines,3-5-2,balanced,flexible,0.65,medium
Leonardo Semplici,4-1-4-1,attacking,possession,0.74,high
Leonhard Haas,4-3-3,balanced,flexible,0.61,medium
Luca Gotti,3-5-2,defensive,counter,0.39,low
Luca Vigiani,3-4-2-1,defensive,counter,0.42,medium
Lucien Favre,4-2-3-1,balanced,flexible,0.52,medium
Luis Carrión,5-3-2,balanced,flexible,0.66,medium
Luis García,4-3-3,balanced,flexible,0.66,medium
Lukas Kwasniok,3-5-2,balanced,pragmatic,0.46,medium
Manolo González,5-3-2,defensive,counter,0.26,low
Marc Schneider,4-2-3-1,attacking,gegenpress,0.92,high
Marcel Rapp,3-4-3,defensive,counter,0.23,low
Marco Antwerpen,5-3-2,balanced,possession,0.71,medium
Marco Baroni,4-2-3-1,balanced,possession,0.53,medium
Marco Rose,4-2-3-1,attacking,possession,0.81,high
Marco Zaffaroni,4-4-2,balanced,flexible,0.7,medium
Markus Anfang,4-2-3-1,balanced,flexible,0.6,medium
Markus Fiedler,5-3-2,defensive,pragmatic,0.34,low
Markus Kauczinski,4-4-2,defensive,counter,0.29,low
Markus Weinzierl,4-4-2,defensive,direct,0.48,low
Martin Heck,4-1-4-1,defensive,pragmatic,0.41,medium
Massimo Brambilla,4-2-3-1,attacking,possession,0.83,high
Matías Almeyda,4-2-3-1,attacking,possession,0.81,high
Mersad Selimbegovic,3-5-2,defensive,direct,0.37,low
Michael Schiele,3-4-3,balanced,flexible,0.68,medium
Michael Wimmer,4-2-3-1,attacking,gegenpress,0.88,high
Michel Der Zakarian,5-3-2,defensive,pragmatic,0.31,low
Miguel Ángel Tena,4-4-2,attacking,gegenpress,0.87,high
Miron Muslic,4-3-3,balanced,flexible,0.69,medium
Mitch Kniat,3-4-2-1,defensive,pragmatic,0.35,low
Míchel,4-3-3,attacking,gegenpress,0.82,high
Niko Kovac,4-2-3-1,balanced,pragmatic,0.59,medium
Nils Döring,3-4-2-1,attacking,gegenpress,0.77,high
Olivier Dall'Oglio,4-2-3-1,balanced,possession,0.53,medium
Pablo Machín,4-4-2,balanced,direct,0.52,medium
Pablo Manusovich,4-4-2,balanced,possession,0.49,medium
Paco López,4-4-2,attacking,direct,0.85,high
Paolo Zanetti,4-3-3,balanced,possession,0.51,medium
Pascal Dupraz,4-1-4-1,defensive,counter,0.45,low
Pascal Gastien,3-4-2-1,attacking,direct,0.91,high
Pascal Ibold,4-1-4-1,balanced,flexible,0.49,medium
Patrick Glöckner,3-4-3,balanced,flexible,0.71,medium
Patrick Kisnorbo,3-4-2-1,defensive,pragmatic,0.46,low
Patrick McCarthy,4-3-3,attacking,gegenpress,0.9,high
Patrick Vieira,4-3-3,balanced,flexible,0.53,medium
Paulo Sousa,3-4-2-1,attacking,possession,0.74,high
Pierre Aristouy,4-2-3-1,attacking,possession,0.83,high
Pál Dárdai,4-3-3,defensive,direct,0.43,low
Quique Setién,4-3-3,attacking,possession,0.77,high
Rainer Widmayer,4-1-4-1,defensive,counter,0.47,low
Ralph Hasenhüttl,4-4-2,attacking,possession,0.76,high
Ray Lewington,5-3-2,balanced,flexible,0.51,medium
Raymond Domenech,4-4-2,defensive,direct,0.46,low
Robert Klauß,3-5-2,balanced,possession,0.58,medium
Robert Moreno,4-3-3,balanced,direct,0.6,medium
Roberto Pätzold,3-4-3,attacking,gegenpress,0.92,high
Romain Pitau,3-5-2,balanced,flexible,0.61,medium
Ruben Amorim,3-4-2-1,attacking,gegenpress,0.83,high
Rubén Baraja,4-4-2,defensive,pragmatic,0.44,low
Rubén Sellés,4-4-2,balanced,direct,0.43,medium
Russell Martin,4-3-3,attacking,possession,0.91,high
Ruud van Nistelrooy,4-3-3,balanced,flexible,0.68,medium
Rüdiger Rehm,4-3-3,attacking,possession,0.79,high
Salvatore Bocchetti,4-3-3,attacking,direct,0.74,high
Sam Allardyce,4-1-4-1,defensive,counter,0.46,low
Sascha Hildmann,4-4-2,attacking,direct,0.71,high
Sean Dyche,4-4-2,defensive,counter,0.46,low
Sebastián Beccacece,4-2-3-1,balanced,flexible,0.61,medium
Sergio Francisco,3-4-3,defensive,counter,0.32,low
Sergio González,3-4-3,attacking,gegenpress,0.73,high
Sergio Mantecón,3-4-3,attacking,possession,0.8,high
Simon Rusk,4-3-3,attacking,possession,0.76,high
