name,preferred_formation,profile,team_style,pressing_intensity,defensive_line,win_pct,clean_sheet_pct,fail_to_score_pct
Alexander Ende,3-4-2-1,attacking,neutral,0.63,high,,,
Alexander Medina,4-4-2,balanced,hard,0.65,mid,0.0,0.0,0.0
Alois Schwartz,4-1-4-1,balanced,soft,0.6,mid,,,
Andrea Sottil,4-4-2,defensive,hard,0.36,low,,,
Bruno Irles,4-3-3,balanced,soft,0.64,mid,66.7,33.3,33.3
Carlo Ancelotti,4-3-3,balanced,soft,0.45,mid,50.0,0.0,0.0
Christian Eichner,4-3-3,attacking,soft,0.88,high,,,
Christian Titz,4-3-3,attacking,soft,0.7,high,,,
Daniel Brinkmann,3-4-2-1,defensive,neutral,0.21,low,,,
Daniel Scherning,4-4-2,balanced,soft,0.64,mid,,,
Davide Ballardini,3-4-2-1,balanced,hard,0.6,mid,,,
Diego Martínez,4-2-3-1,defensive,neutral,0.45,low,50.0,50.0,0.0
Eduardo Coudet,4-1-3-2,attacking,hard,0.8,high,0.0,0.0,0.0
Fabrizio Castori,4-1-4-1,defensive,neutral,0.26,low,,,
Filippo Inzaghi,4-3-3,defensive,hard,0.4,low,,,
Florian Kohfeldt,4-3-3,balanced,soft,0.55,mid,66.7,33.3,33.3
Giovanni Stroppa,5-3-2,balanced,neutral,0.52,mid,33.3,66.7,33.3
Graham Potter,3-4-2-1,attacking,soft,0.65,high,,,
Heiko Vogel,4-3-3,balanced,soft,0.62,mid,,,
Javier Aguirre,5-3-2,defensive,hard,0.35,low,60.0,80.0,20.0
Jesse Marsch,4-2-2-2,attacking,hard,0.9,high,33.3,66.7,33.3
Julen Lopetegui,4-3-3,attacking,soft,0.7,high,,,
Karel Geraerts,5-3-2,attacking,soft,0.83,high,66.7,66.7,16.7
Marcelo Bielsa,4-1-4-1,attacking,hard,0.95,high,0.0,50.0,50.0
Massimiliano Alvini,4-4-2,attacking,neutral,0.82,high,,,
Mauricio Pochettino,4-2-3-1,attacking,hard,0.8,high,0.0,0.0,50.0
Mehdi Nafti,4-2-3-1,attacking,neutral,0.66,high,,,
Michael Carrick,3-4-2-1,attacking,neutral,0.5764644664093688,high,47.2,16.7,8.3
Miroslav Klose,4-2-3-1,balanced,neutral,0.55,mid,,,
Paolo Bianco,4-4-2,attacking,soft,0.66,high,,,
Pavel Dotchev,3-4-2-1,defensive,hard,0.46,low,,,
Philippe Montanier,4-3-3,balanced,soft,0.5,mid,66.7,0.0,0.0
Ralf Kettemann,5-3-2,balanced,neutral,0.47,mid,,,
Ralf Rangnick,4-2-2-2,attacking,hard,0.9,high,100.0,50.0,0.0
Rudi Garcia,4-3-3,attacking,neutral,0.65,high,50.0,0.0,0.0
Stefan Leitl,3-5-2,attacking,neutral,0.73,high,50.0,75.0,50.0
Steffen Baumgart,4-1-3-2,attacking,hard,0.85,high,50.0,37.5,25.0
Thomas Stamm,3-4-2-1,attacking,neutral,0.7,high,,,
Thomas Tuchel,3-4-2-1,balanced,neutral,0.65,high,0.0,0.0,50.0
Tim Walter,4-3-3,attacking,soft,0.75,high,50.0,75.0,50.0
Torsten Lieberknecht,3-4-2-1,attacking,hard,0.73,high,66.7,66.7,0.0
Uwe Koschinat,4-3-3,balanced,neutral,0.64,mid,,,
Uwe Rösler,3-5-2,balanced,hard,0.6,mid,33.3,33.3,33.3
Vincent Wagner,4-2-3-1,attacking,neutral,0.66,high,,,
