gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022200001,1610612738,Boston,Celtics,BOS,celtics,240:00,649.5,129.9,596.9,119.4,52.5,10.5,0.522,2.18,18.5,0.256,0.81,0.543,11.34,11.3,0.634,0.668,1.0,0.981,19.5,97.5,81.25,97.0,0.566
0022200001,1610612755,Philadelphia,76ers,PHI,sixers,240:00,596.9,119.4,649.5,129.9,-52.5,-10.5,0.4,1.14,13.1,0.19,0.744,0.457,14.286,14.3,0.581,0.634,1.0,0.962,19.5,97.5,81.25,98.0,0.434
0022200002,1610612744,Golden State,Warriors,GSW,warriors,240:00,534.8,107.0,486.6,97.3,48.2,9.6,0.689,1.72,19.1,0.281,0.754,0.518,15.652,15.7,0.535,0.564,1.0,0.962,22.7,113.5,94.58,115.0,0.548
0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,486.6,97.3,534.8,107.0,-48.2,-9.6,0.575,1.05,15.4,0.246,0.719,0.482,19.643,19.6,0.479,0.519,1.0,0.992,22.7,113.5,94.58,112.0,0.452
0022200005,1610612737,Atlanta,Hawks,ATL,hawks,240:00,551.9,110.4,504.7,100.9,47.2,9.4,0.667,3.33,21.1,0.128,0.696,0.437,8.491,8.5,0.539,0.582,1.0,0.982,21.2,106.0,88.33,106.0,0.572
0022200005,1610612745,Houston,Rockets,HOU,rockets,240:00,504.7,100.9,551.9,110.4,-47.2,-9.4,0.595,1.56,17.0,0.304,0.872,0.563,15.094,15.1,0.474,0.511,1.0,0.984,21.2,106.0,88.33,106.0,0.428
0022200007,1610612748,Miami,Heat,MIA,heat,240:00,514.3,102.9,552.4,110.5,-38.1,-7.6,0.568,1.11,15.6,0.196,0.696,0.471,18.095,18.1,0.538,0.585,1.0,0.982,21.0,105.0,87.5,105.0,0.478
0022200007,1610612741,Chicago,Bulls,CHI,bulls,240:00,552.4,110.5,514.3,102.9,38.1,7.6,0.561,1.53,15.9,0.304,0.804,0.529,14.286,14.3,0.511,0.551,1.0,0.975,21.0,105.0,87.5,105.0,0.522
0022200014,1610612758,Sacramento,Kings,SAC,kings,240:00,534.7,106.9,569.3,113.9,-34.7,-6.9,0.692,1.69,19.6,0.234,0.736,0.5,15.842,15.8,0.559,0.578,1.0,0.982,20.2,101.0,84.17,101.0,0.474
0022200014,1610612757,Portland,Trail Blazers,POR,blazers,240:00,569.3,113.9,534.7,106.9,34.7,6.9,0.513,1.82,14.9,0.264,0.766,0.5,10.891,10.9,0.506,0.561,1.0,0.991,20.2,101.0,84.17,101.0,0.526
0022200011,1610612759,San Antonio,Spurs,SAS,spurs,240:00,485.7,97.1,602.8,120.6,-117.1,-23.4,0.55,1.47,15.2,0.295,0.667,0.459,14.286,14.3,0.439,0.471,1.0,1.0,21.2,106.0,88.33,105.0,0.368
0022200011,1610612766,Charlotte,Hornets,CHA,hornets,240:00,602.8,120.6,485.7,97.1,117.1,23.4,0.542,1.73,17.4,0.333,0.705,0.541,14.019,14.0,0.58,0.619,1.0,0.967,21.2,106.0,88.33,107.0,0.632
0022200010,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,547.6,109.5,504.7,100.9,42.9,8.6,0.641,1.79,16.9,0.3,0.683,0.496,13.333,13.3,0.468,0.53,1.0,1.0,21.2,106.0,88.33,105.0,0.548
0022200010,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,504.7,100.9,547.6,109.5,-42.9,-8.6,0.579,1.57,14.8,0.317,0.7,0.504,13.084,13.1,0.455,0.497,1.0,0.961,21.2,106.0,88.33,107.0,0.452
0022200006,1610612751,Brooklyn,Nets,BKN,nets,240:00,529.4,105.9,637.3,127.5,-107.8,-21.6,0.55,1.38,16.2,0.226,0.571,0.404,15.686,15.7,0.506,0.542,1.0,0.991,20.4,102.0,85.0,102.0,0.392
0022200006,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,637.3,127.5,529.4,105.9,107.8,21.6,0.62,2.38,19.7,0.429,0.774,0.596,12.745,12.7,0.549,0.575,1.0,0.976,20.4,102.0,85.0,102.0,0.608
0022200004,1610612754,Indiana,Pacers,IND,pacers,240:00,514.4,102.9,542.9,108.6,-28.4,-5.7,0.538,1.4,14.7,0.29,0.647,0.451,14.423,14.4,0.479,0.504,1.0,0.992,20.9,104.5,87.08,104.0,0.424
0022200004,1610612764,Washington,Wizards,WAS,wizards,240:00,542.9,108.6,514.4,102.9,28.4,5.7,0.5,1.24,14.7,0.353,0.71,0.549,16.19,16.2,0.516,0.556,1.0,0.975,20.9,104.5,87.08,105.0,0.576
