,name,preferred_formation,profile,team_style,pressing_intensity,defensive_line,win_pct,clean_sheet_pct,fail_to_score_pct
0,Abdeslam Ouaddou,,,,,,,,
2,Abdu Maikaba,4-3-3,defensive,soft,,,25.7,31.4,40.0
3,Abel Ferreira,4-2-3-1,attacking,neutral,0.5840726124831077,high,64.2,37.7,17.0
4,Abraham Paz,,,,,,,,
5,Adam Lakeland,,,,,,,,
6,Adam Nocon,,,,,,,,
7,Ádám Weitner,,,,,,,,
8,Adelson Almeida,4-2-3-1,attacking,hard,,,0.0,0.0,0.0
9,Ademir Ferreira dos Santos,4-3-3,attacking,neutral,,,33.3,0.0,0.0
10,Adrián Cantabrana,,,,,,,,
11,Adrián González,,,,,,,,
12,Adrian Mihalcea,4-2-3-1,balanced,neutral,0.4690835515001594,low,38.9,19.4,27.8
13,Adrian Siemieniec,4-2-3-1,balanced,neutral,0.6418155868458493,mid,40.6,25.0,18.8
14,Adrian Stawski,,attacking,soft,,,60.0,40.0,20.0
15,Adrián Vázquez Forján,,balanced,soft,,,33.3,33.3,33.3
16,Ahmed Ait Ouarab,,balanced,soft,,,25.0,25.0,0.0
17,Ahmed Najar,,,,,,,,
18,Ailton Silva,4-3-3,attacking,hard,,,50.0,0.0,0.0
19,Aitor Martínez Medina,,,,,,,,
20,Akinobu Yokouchi,,,,,,,,
21,Akio Kogiku,,,,,,,,
22,Akis Mantzios,4-3-3,balanced,soft,,,50.0,0.0,50.0
23,Ákos Simon,,,,,,,,
24,Alain Pochat,,attacking,soft,,,80.0,60.0,20.0
25,Alban Dragusha,,balanced,soft,,,50.0,0.0,50.0
26,Albert Celades,4-2-3-1,balanced,neutral,0.1453242564479637,,42.9,42.9,28.6
27,Albert Espigares,4-1-4-1,balanced,hard,0.5303393666582108,mid,17.6,17.6,41.2
28,Alberto Aquilani,,,,,,,,
29,Alberto Gonzalez Fernandez,5-3-2,balanced,neutral,0.366715988074882,high,35.7,28.6,23.8
30,Alberto Valentim,4-3-3,attacking,neutral,,,16.7,0.0,16.7
31,Albert Riera,4-2-3-1,attacking,neutral,0.4906440493541046,mid,31.7,22.0,14.6
32,Albert Sánchez,,attacking,soft,,,33.3,33.3,0.0
33,Alejandro Izquierdo Cuadrado,,,,,,,,
34,Alejandro Orfila,4-5-1,defensive,neutral,,,0.0,0.0,100.0
35,Alejandro Restrepo,3-1-4-2,balanced,neutral,,,33.3,16.7,16.7
36,Aleksandar Emilov Aleksandrov,4-2-3-1,balanced,neutral,0.2481337135599055,mid,61.3,38.7,22.6
37,Aleksandar Stanojević,4-2-3-1,defensive,neutral,0.3765474472356964,mid,16.1,16.1,41.9
38,Aleksandar Vuković,4-3-3,balanced,neutral,0.7318344639523205,mid,32.4,35.3,26.5
39,Aleksandr Shagojko,,balanced,soft,,,0.0,0.0,50.0
40,Alessio Lisci,4-2-3-1,balanced,neutral,0.3214842094083007,high,35.1,21.6,29.7
41,Alexander Blessin,3-4-2-1,defensive,neutral,0.2855995137396718,high,20.0,17.1,42.9
42,Alexander Rubin,3-4-3,attacking,soft,0.6002101313510066,high,40.0,20.0,0.0
43,Alexander Tunchev,4-2-3-1,balanced,neutral,0.3304413008050256,high,38.7,41.9,48.4
44,Alexandre Dujeux,4-2-3-1,defensive,neutral,0.2924819957690036,mid,27.3,33.3,39.4
45,Alexandre Gallo,3-4-3,defensive,neutral,,,0.0,0.0,100.0
46,Alexandre Paes  Lopes,4-2-3-1,attacking,neutral,,,50.0,0.0,0.0
47,Alexandre Santos,4-4-2,defensive,neutral,0.5624608021712415,high,50.0,50.0,28.6
48,Alex Neil,4-2-3-1,balanced,neutral,0.6188091223831852,mid,51.0,36.7,16.3
49,Alex Revell,,,,,,,,
50,Alexsandro de Souza,4-3-3,balanced,hard,0.4678493139420338,high,44.4,11.1,0.0
51,Alexsandro Oliveira Duarte,4-2-3-1,balanced,hard,,,50.0,0.0,50.0
52,Alfredo Arias,5-3-2,balanced,hard,,,0.0,0.0,0.0
53,Alfredo Berti,4-2-3-1,defensive,soft,,,100.0,100.0,0.0
54,Alfredo Sampaio,4-1-4-1,balanced,hard,,,50.0,50.0,0.0
55,Aliou Cissé,4-1-4-1,balanced,soft,,,25.0,25.0,25.0
56,Allan Rodrigo Aal,4-2-3-1,defensive,neutral,0.601326507279065,high,22.2,33.3,44.4
57,Aloísio Júnior,4-2-3-1,defensive,hard,,,50.0,50.0,50.0
58,Álvaro Arbeloa,4-4-2,attacking,neutral,0.4947108036661993,mid,67.3,30.6,8.2
59,Álvaro Cejudo,,,,,,,,
60,Alvaro Cervera,,defensive,neutral,,,20.5,22.7,47.7
61,Álvaro Garrido,,,,,,,,
62,Álvaro Pacheco,3-4-3,defensive,neutral,0.3915644156858858,high,16.1,19.4,45.2
63,Álvaro Plata,,defensive,soft,,,0.0,0.0,33.3
64,Àlvaro Recoba,4-2-3-1,defensive,neutral,,,50.0,50.0,25.0
65,Amar Ferdjani,,,,,,,,
66,Amine Beji,3-5-2,defensive,neutral,,,39.3,39.3,53.6
67,Amir Abdou,4-3-3,balanced,soft,,,50.0,33.3,33.3
68,Amir Ghalenoei,5-4-1,attacking,neutral,,,50.0,50.0,0.0
69,Ammar Guesmia,,balanced,soft,,,33.3,33.3,33.3
70,Andoni Iraola,4-2-3-1,balanced,neutral,0.6731328381117551,mid,30.6,25.0,22.2
71,András Tóth,,,,,,,,
72,Andrea Chiappella,,,,,,,,
73,Andreas Engelmark,4-2-3-1,attacking,soft,0.5760850635768052,high,42.9,17.1,8.6
74,Andreas Hagen,3-5-2,defensive,soft,,,0.0,0.0,50.0
75,Andreas Holmberg,,,,,,,,
77,André Jardine,4-2-3-1,balanced,neutral,0.5429506709740454,mid,50.0,30.6,22.2
78,Andrés París,4-4-2,defensive,neutral,0.7370013496724375,mid,7.7,3.8,61.5
79,Andrew Whing,,,,,,,,
80,Andrius Skerla,,,,,,,,
81,Andy Butler,,,,,,,,
82,Andy Peaks,,,,,,,,
83,Andy Woodman,,balanced,soft,,,0.0,0.0,0.0
84,Angelo Harrop,,,,,,,,
85,Ângelo Luiz de Souza Netto,4-3-3,attacking,hard,,,50.0,0.0,0.0
86,Ángel Rodríguez,,,,,,,,
87,Ángel Vivar Dorado,,,,,,,,
88,Anicet Yala,4-2-3-1,balanced,neutral,,,0.0,0.0,33.3
89,Ante Šimundža,,balanced,soft,,,66.7,33.3,0.0
90,Anthony Correia,,,,,,,,
92,Anthony Hacquard,,,,,,,,
93,Anthony Modeste,3-4-2-1,defensive,soft,,,0.0,0.0,100.0
94,Antoine Kombouare,4-3-3,balanced,neutral,0.3666135929268588,high,32.4,26.5,29.4
95,Antonio Calabro,,,,,,,,
96,Antonio Calderon,,,,,,,,
