,name,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match
0,Damaso Arcediano Monescillo,5.29,0.13,2.47,30.0
1,Jon Ander Gonzalez Esteban,4.45,0.25,2.7,24.9
2,Manuel Angel Perez Hernandez,5.79,0.12,2.67,27.8
3,Iosu Galech Apezteguia,3.45,0.17,2.33,28.9
4,Miguel Sesma Espinosa,3.64,0.14,2.93,27.8
5,Alvaro Moreno Aragon,4.8,0.29,2.83,27.3
6,Andres Fuentes Molina,4.85,0.2,2.8,26.3
7,Carlos Muniz Munoz,3.63,0.15,2.46,25.4
8,Daniel Palencia Caballero,5.32,0.34,2.59,29.2
9,Davi de Oliveira Lacerda,1.54,0.05,2.56,23.3
10,Eder Mallo Fernandez,5.51,0.07,2.34,24.0
11,Saul Ais Reig,5.24,0.2,1.8,21.4
12,German Cid Camacho,5.78,0.15,2.8,27.0
13,Jose Luis Guzman Mansilla,3.48,0.07,2.92,24.5
14,Salvador Lax Franco,4.92,0.12,2.9,24.4
15,Manuel Jesus Orellana Cid,5.9,0.26,2.38,28.3
16,Rafael Sanchez Lopez,4.49,0.18,2.41,22.6
17,Sergui Claudiu Muresan,4.41,0.23,2.69,24.9
18,Chris Kavanagh,2.24,0.08,2.55,22.2
19,Jose Antonio Sanchez Villalobos,5.82,0.21,2.79,28.2
20,Michael Oliver,2.19,0.03,2.86,23.0
21,Anthony Taylor,2.67,0.03,3.08,21.0
22,Marta Huerta de Aza,4.25,0.22,2.31,25.9
23,Rodrigo Jose Pereira de Lima,1.29,0.03,2.43,28.7
24,Rosendo Mendoza,0.54,0.03,3.03,27.4
25,Allen Chapman,0.5,0.03,3.21,19.8
26,Raphael Claus,1.65,0.12,2.76,23.7
27,Rubiel Vazquez,0.85,0.09,2.91,23.6
28,Serdar Gozubuyuk,2.21,0.03,3.32,23.4
29,Danny Makkelie,1.64,0.06,3.82,22.4
30,Miguel Gonzalez Diaz,5.12,0.24,2.67,32.2
31,Thomas Kirk,3.0,0.03,2.55,21.4
32,Anderson Daronco,1.78,0.09,2.16,27.1
33,Jesus Gil Manzano,2.75,0.09,3.22,23.7
34,Victor Rivas,1.16,0.03,3.22,23.3
35,Wilton Pereira Sampaio,1.88,0.03,2.31,27.7
36,Drew Fischer,1.35,0.03,3.19,25.3
37,Guido Gonzales Jr,0.77,0.13,3.13,24.3
38,Jon Freemon,1.03,0.13,3.0,24.3
39,Sergiy Boyko,0.55,0.0,3.42,22.4
40,Bruno Arleu de Araujo,2.33,0.03,2.1,28.7
41,Filip Dujic,0.77,0.03,3.3,25.7
42,Mohammed Al-Hakim,0.37,0.0,2.37,22.8
43,Nick Walsh,2.2,0.03,2.5,24.7
44,Rafael Rodrigo Klein,1.3,0.13,2.1,27.8
45,Alejandro Hernandez,2.21,0.17,3.66,22.9
46,Andrew Kitchen,1.55,0.07,3.17,19.9
47,François Letexier,2.21,0.1,2.9,22.0
48,Istvan Kovacs,3.1,0.17,2.55,25.6
49,Josh Smith,2.59,0.1,2.86,19.9
50,Juan Martinez Munuera,2.97,0.1,2.38,27.6
51,Matt Donohue,2.69,0.03,2.17,23.4
52,Sven Jablonski,2.24,0.03,2.9,22.2
53,Farai Hallam,2.36,0.0,3.29,20.7
54,Felix Zwayer,2.89,0.07,3.18,22.7
55,Flavio Rodrigues De Souza,2.0,0.07,1.96,25.6
56,José María Sánchez Martínez,2.89,0.07,2.46,26.3
57,Lewis Smith,2.54,0.04,2.04,19.3
58,Pierre-Luc Lauziere,1.0,0.0,2.79,24.4
59,Ricardo De Burgos Bengoetxea,2.04,0.11,2.71,21.6
60,Thomas Bramall,3.18,0.0,2.57,21.5
61,Chris Penso,0.44,0.0,2.37,22.7
62,Daniel Siebert,2.33,0.04,2.93,22.5
63,Horatiu Fesnic,2.85,0.11,3.3,29.8
64,Maurizio Mariani,2.81,0.11,2.74,22.7
65,Paulo Cesar Zanovelli da Silva,2.59,0.19,2.56,30.3
66,Tobias Stieler,2.33,0.11,2.7,21.4
67,Alex Gomes Stefano,0.62,0.0,2.46,32.8
68,Anthony Backhouse,3.31,0.0,3.08,22.0
69,Damian Sylwestrzak,2.0,0.04,2.58,28.9
70,Davide Massa,2.88,0.15,2.58,26.5
71,David Webb,1.96,0.0,2.54,19.9
72,Felipe Fernandes de Lima,1.5,0.08,2.31,31.3
73,Gavin Ward,2.15,0.08,3.35,20.3
74,Lucas Paulo Torezin,1.12,0.08,3.27,26.0
75,Marco Guida,1.69,0.15,2.42,23.6
76,Marcos de Oliveira,0.62,0.0,3.12,24.5
77,Sascha Stegemann,2.35,0.04,2.65,23.5
78,Adam Herczeg,2.16,0.04,3.08,22.3
79,Adam Ladeback,0.44,0.0,3.2,24.4
80,Alexis Da Silva,0.84,0.0,2.56,25.4
81,Andy Madley,2.48,0.12,3.0,23.3
82,Benoît Bastien,1.84,0.08,2.72,23.7
83,Clement Turpin,2.0,0.16,2.92,23.1
84,Darren England,2.88,0.0,2.52,22.0
85,Eric Lambrechts,2.2,0.0,2.84,21.3
86,Granit Maqedonci,0.4,0.0,2.96,24.4
87,Peter Bankes,2.56,0.08,2.72,22.0
88,Samuel Barrott,2.08,0.0,2.76,19.7
89,Stephen Martin,3.04,0.04,2.88,22.6
90,Urs Schnyder,2.44,0.12,3.56,24.9
91,Fredrik Klitte,0.54,0.0,2.33,27.1
92,Glenn Nyberg,1.0,0.04,3.04,25.6
93,Jair Antonio Maruffo,0.42,0.04,2.75,22.1
94,Kristoffer Karlsson,0.83,0.0,3.17,27.1
95,Lawrence Visser,2.71,0.0,3.33,23.0
96,Lothar D'hondt,2.38,0.0,2.58,26.0
97,Matheus Delgado Candançan,1.0,0.08,2.96,25.5
98,Paweł Raczkowski,2.04,0.12,2.88,26.7
99,Ramon Abatti Abel,1.62,0.0,2.25,30.5
100,Stuart Attwell,2.79,0.08,3.0,21.9
101,Tom Nield,2.04,0.0,2.83,23.8
102,Victor Wolf,0.75,0.0,2.42,25.5
103,César Soto Grado,3.26,0.09,2.78,23.7
104,Craig Pawson,2.3,0.09,2.96,22.7
105,Jasper Vergoote,1.3,0.04,3.0,22.0
106,John Busby,2.61,0.09,2.74,21.3
107,Marco Antonio Ortiz Nava,2.65,0.35,3.78,26.3
108,Oliver Langford,2.65,0.17,2.78,19.7
109,Oscar Johnson,0.3,0.0,2.48,25.7
110,Szymon Marciniak,1.26,0.04,3.0,26.3
111,Adi Aganovic,0.45,0.0,3.09,21.2
112,Allard Lindhout,1.27,0.09,2.64,19.4
113,Bram Van Driessche,2.14,0.05,2.73,21.7
114,Georgi Kabakov,2.14,0.09,2.36,21.9
115,Halil Umut Meler,2.77,0.09,2.91,25.3
116,Harm Osmers,2.64,0.05,2.77,21.0
117,Jarred Gillett,2.5,0.0,2.82,19.9
118,Javier Alberola Rojas,2.36,0.09,3.09,25.9
119,Joao Pedro Pinheiro,2.77,0.14,2.77,24.7
120,José Luis Munuera Montero,2.41,0.09,2.82,26.4
121,Luis Bestard Servera,5.14,0.14,3.14,28.0
122,Marcel Birsan,2.23,0.09,2.82,24.1
123,Marian Barbu,2.95,0.0,3.0,23.6
124,Nathan Verboomen,2.32,0.05,2.41,23.0
125,Richard Sundell,0.27,0.0,2.95,24.0
126,Sander van der Eijk,2.36,0.14,2.77,22.1
127,Willy Delajod,1.82,0.14,2.86,23.4
128,Alejandro Morilla Turrion,5.24,0.24,2.95,28.6
129,Bert Verbeke,1.81,0.1,2.95,21.9
130,Cihan Aydin,2.86,0.14,2.24,27.2
131,Gorka Etayo Herrera,4.9,0.14,2.43,27.8
132,Jan Boterberg,2.29,0.1,2.43,21.7
133,John Beaton,1.52,0.05,3.1,22.9
134,Karol Arys,0.95,0.05,2.52,27.1
135,Lucas Casagrande,1.19,0.1,2.43,28.6
136,Malik Badawi,1.19,0.0,2.95,23.2
137,Nicolas Laforge,2.57,0.05,1.76,21.6
138,Oliver de la Fuente Ramos,4.52,0.1,3.0,24.0
139,Piotr Lasyk,1.86,0.05,2.52,26.2
140,Ruben Avalos Barrera,5.38,0.14,1.9,29.5
141,Ruddy Buquet,2.38,0.05,2.76,23.1
142,Ruebyn Ricardo,3.38,0.05,2.48,22.1
143,Simon Bourdeaud'hui,1.38,0.1,3.0,23.0
144,Simone Sozza,1.52,0.05,2.57,24.0
145,Steven McLean,2.14,0.29,2.48,24.7
146,Tori Penso,1.14,0.0,2.29,21.4
147,Victor Garcia Verdura,2.67,0.1,2.43,24.0
148,Alejandro Muñiz Ruiz,2.55,0.15,3.25,23.9
149,Alejandro Ojaos Valera,5.2,0.3,3.35,28.4
150,Ali Yilmaz,2.4,0.0,2.35,25.6
151,Damian Kos,1.95,0.0,2.2,24.2
152,Dean Whitestone,1.7,0.0,2.55,22.8
153,Eric Wattellier,1.95,0.1,3.6,20.1
154,Fotis Bazakos,1.3,0.05,3.55,24.9
155,Guillermo Cuadra Fernandez,3.1,0.15,2.95,24.6
156,Isidro Diaz de Mera Escuderos,3.75,0.15,2.9,24.7
157,James Linington,2.5,0.05,2.6,20.5
158,Joseph Dickerson,1.05,0.1,4.15,27.8
159,Leigh Doughty,3.0,0.0,2.85,21.9
160,Luís Godinho,2.45,0.0,2.55,26.1
161,Marc Nagtegaal,1.45,0.1,3.6,21.8
162,Miguel Angel Ortiz Arias,2.25,0.05,2.65,22.9
163,Ricardo Fierro,0.6,0.0,2.6,28.1
164,Ricardo Montero,1.4,0.1,3.15,24.9
165,Robert Jones,2.75,0.0,2.85,21.6
166,Savio Pereira Sampaio,2.2,0.0,3.3,26.8
167,Adrian Cordero Vega,3.16,0.0,2.26,25.3
168,Alejandro Quintero Gonzalez,3.26,0.11,2.63,27.3
169,Alonso De Ena Wolf,6.37,0.37,2.11,29.0
170,Anastasios Papapetrou,2.26,0.11,2.53,29.9
171,Benjamin Brand,2.68,0.16,3.53,19.6
172,Ben Toner,2.47,0.11,2.47,24.2
173,César Ramos Palazuelos,2.74,0.05,3.32,25.3
174,Daniele Doveri,2.16,0.16,2.21,24.2
175,David Dickinson,2.89,0.21,2.68,23.4
176,Florian Badstubner,1.37,0.16,2.95,21.8
177,Jeremie Pignard,2.37,0.26,3.37,22.1
178,Jeroen Manschot,2.11,0.11,2.68,20.6
179,Jérôme Brisard,2.21,0.16,2.89,22.8
180,Michael Salisbury,2.53,0.05,3.11,22.1
181,Patryk Gryckiewicz,2.32,0.0,3.11,25.1
182,Radu Marian Petrescu,0.84,0.0,2.42,26.7
183,Rares George Vidican,2.79,0.16,2.58,25.6
184,Szabolcs Kovacs,3.32,0.11,2.32,22.3
185,Tim Robinson,3.37,0.16,2.16,22.5
186,Wojciech Myc,2.32,0.0,2.68,27.4
187,Alberto Undiano Mallenco,5.56,0.06,3.67,
188,Andrea Colombo,3.39,0.0,2.94,28.1
189,Antonio Nobre,2.89,0.11,2.5,27.9
190,Armando Villarrea,0.94,0.0,3.11,22.9
191,Daniel Schlager,2.78,0.06,3.11,22.4
192,Donald Robertson,2.0,0.0,2.39,23.1
