name,city,country,lat,lon
Estadi Municipal de Montilivi,Estadi Municipal de Montilivi,Spain,41.9612296,2.8289964
Estadio de la Cerámica,Estadio de la Cerámica,Spain,39.9442084,-0.1034046
Estadi Mallorca Son Moix,Estadi Mallorca Son Moix,Spain,39.589935,2.6301158
Estadio de Mendizorroza,Vitoria-Gasteiz,Spain,42.8374204,-2.6908989
Estadio de Mestalla,Estadio de Mestalla,Spain,39.4746,-0.3582
Estadio Abanca Balaídos,Vigo,Spain,42.2117659,-8.7396656
San Mamés,Bilbao,Spain,43.264204,-2.9493915
RCDE Stadium,Cornella,Spain,41.3478567,2.0764584
Estadio Manuel Martínez Valero,Estadio Manuel Martínez Valero,Spain,38.2670445,-0.6633051
Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Spain,40.453057,-3.6883531
Estadio La Cartuja de Sevilla,Estadio La Cartuja de Sevilla,Spain,37.4172353,-6.0046134
Riyadh Air Metropolitano,Madrid,Spain,40.436053,-3.5997153
Estadio Ciudad de Valencia,Estadio Ciudad de Valencia,Spain,39.4946425,-0.3638622
Estadio El Sadar,Pamplona,Spain,42.7966625,-1.6371311
Reale Arena,San Sebastian,Spain,43.3013899,-1.9735689
Estadio Nuevo Carlos Tartiere,Estadio Nuevo Carlos Tartiere,Spain,43.3603,-5.8711
Estadio Ramón Sánchez Pizjuán,Estadio Ramón Sánchez Pizjuán,Spain,37.3840876,-5.9706309
Campo de Fútbol de Vallecas,Campo de Fútbol de Vallecas,Spain,40.3917566,-3.6587366
Coliseum Alfonso Pérez,Getafe,Spain,40.3257247,-3.7149326
Estadi Johan Cruyff,Barcelona,Spain,41.3742003,2.0505529
Estadi Olímpic Lluís Companys,Estadi Olímpic Lluís Companys,Spain,41.36472,2.1556451
Spotify Camp Nou,Barcelona,Spain,41.3808806,2.1228182
Estadio Municipal de Butarque,Leganes,Spain,40.3405621,-3.760643
Estadio Benito Villamarín,Estadio Benito Villamarín,Spain,37.3564503,-5.9809176
Estadio de Gran Canaria,Estadio de Gran Canaria,Spain,28.1002336,-15.4567247
Estadio Municipal José Zorrilla,Estadio Municipal José Zorrilla,Spain,41.6447,-4.7612
Riyadh Air Metropolitan Stadium,Riyadh Air Metropolitan Stadium,Spain,40.4362,-3.5995
Power Horse Stadium,Power Horse Stadium,Spain,36.840067,-2.4354672
Estadio Nuevo Mirandilla,Estadio Nuevo Mirandilla,Spain,36.5026039,-6.2730167
Estadio Cívitas Metropolitano,Estadio Cívitas Metropolitano,Spain,40.4362,-3.5995
Estadio Nuevo Los Cármenes,Estadio Nuevo Los Cármenes,Spain,37.1528908,-3.5958939
Estadio del Rayo Vallecano,Estadio del Rayo Vallecano,Spain,40.3917,-3.6587
Estadio de Balaídos,Estadio de Balaídos,Spain,42.2117659,-8.7396656
Camp Nou,Camp Nou,Spain,41.3804287,2.1204072
Iberostar Estadi,Iberostar Estadi,Spain,39.59,2.63
Estadio Municipal de Anoeta,Estadio Municipal de Anoeta,Spain,43.3014,-1.9736
Estadio Wanda Metropolitano,Estadio Wanda Metropolitano,Spain,40.4362,-3.5995
Allianz Arena,Munich,Germany,48.2187901,11.6236227
Stadion An der Alten Försterei,Stadion An der Alten Försterei,Germany,52.4569741,13.5680789
Europa-Park Stadion,Europa-Park Stadion,Germany,48.0213778,7.829817
Voith-Arena,Heidenheim an der Brenz,Germany,48.6685245,10.1392963
BayArena,Leverkusen,Germany,51.0381439,7.0030964
Deutsche Bank Park,Frankfurt,Germany,50.0686103,8.6454154
Millerntor-Stadion,Hamburg - St. Pauli,Germany,53.5545566,9.9677842
Mewa Arena,Mewa Arena,Germany,49.9839451,8.2244738
Stadion im Borussia-Park,Stadion im Borussia-Park,Germany,51.1746249,6.3854094
Volksparkstadion,Hamburg,Germany,53.5871535,9.8987056
MHPArena,MHPArena,Germany,48.8911701,9.1824202
PreZero Arena,Sinsheim,Germany,49.2380604,8.8876414
Red Bull Arena,Leipzig,Germany,51.3457078,12.3482361
Weserstadion,Bremen,Germany,53.0664479,8.8376718
WWK Arena,WWK Arena,Germany,48.3231179,10.885879
Volkswagen Arena,Wolfsburg,Germany,52.4326524,10.8038151
Signal Iduna Park,Dortmund,Germany,51.4924922,7.4518549
RheinEnergieSTADION,RheinEnergieSTADION,Germany,50.9335055,6.8751167
Vonovia Ruhrstadion,Vonovia Ruhrstadion,Germany,51.4900826,7.2365091
Holstein-Stadion,Kiel,Germany,54.3492088,10.1237559
Wohninvest Weserstadion,Wohninvest Weserstadion,Germany,53.0598364273,8.83590665636
Merck-Stadion am Böllenfalltor,Darmstadt,Germany,49.85771,8.6724145
Mercedes-Benz Arena,Mercedes-Benz Arena,Germany,48.7922488,9.2320857
Olympiastadion Berlin,Olympiastadion Berlin,Germany,52.5145846,13.2398144
Veltins-Arena,Veltins-Arena,Germany,51.5545938,7.0676001
SchücoArena,SchücoArena,Germany,52.0320258,8.5167762
Sportpark Ronhof Thomas Sommer,Furth,Germany,49.4871453,10.9988931
Schwarzwald-Stadion,Schwarzwald-Stadion,Germany,47.9959,7.85222
Anfield,Liverpool,United Kingdom,53.4309012,-2.9609719
Villa Park,Birmingham,United Kingdom,52.5091264,-1.8850354
Stadium of Light,Sunderland,United Kingdom,54.9143953,-1.3882579
The American Express Stadium,The American Express Stadium,United Kingdom,50.8615471,-0.0836931
Tottenham Hotspur Stadium,London,United Kingdom,51.604157,-0.0662604
Molineux Stadium,Wolverhampton,United Kingdom,52.5902723,-2.1304079
Stamford Bridge,London,United Kingdom,51.4816869,-0.1910336
The City Ground,The City Ground,United Kingdom,51.5200055,-0.1010728
Old Trafford,Manchester,United Kingdom,53.4631095,-2.2913865
Elland Road,Leeds,United Kingdom,53.7757141,-1.5757579
London Stadium,London,United Kingdom,51.5386207,-0.0166238
Etihad Stadium,Manchester,United Kingdom,53.4831448,-2.2005273
Vitality Stadium,Bournemouth,United Kingdom,50.7351814,-1.8383279
Gtech Community Stadium,Gtech Community Stadium,United Kingdom,51.490713,-0.2889802
Turf Moor,Burnley,United Kingdom,53.7893606,-2.2298547
Emirates Stadium,London,United Kingdom,51.5550404,-0.1083997
Selhurst Park,London,United Kingdom,51.3982429,-0.0852551
Hill Dickinson Stadium,Liverpool,United Kingdom,53.4250024,-3.0027092
Craven Cottage,London,United Kingdom,51.4749218,-0.2217448
St James' Park,Newcastle upon Tyne,United Kingdom,54.9754693,-1.6218737
Portman Road Stadium,Ipswich,United Kingdom,52.0549518,1.1452848
Goodison Park,Goodison Park,United Kingdom,53.4386898,-2.9664193
King Power Stadium,Leicester,United Kingdom,52.620397,-1.1423352
St Mary's Stadium,St Mary's Stadium,United Kingdom,50.9058615,-1.3908774
The American Express Community Stadium,The American Express Community Stadium,United Kingdom,50.8618,-0.0837
Bramall Lane,Sheffield,United Kingdom,53.3703429,-1.4707145
Kenilworth Road Stadium,Kenilworth Road Stadium,United Kingdom,51.884126,-0.4316701
St. Mary's Stadium,Southampton,United Kingdom,50.9058615,-1.3908774
Brentford Community Stadium,London,United Kingdom,51.490713,-0.2889802
Vicarage Road Stadium,Vicarage Road Stadium,United Kingdom,51.649759,-0.4013489
Carrow Road,Norwich,United Kingdom,52.6220315,1.3093222
St. James' Park,St. James' Park,United Kingdom,50.9271752,-1.4301175
Roazhon Park,Rennes,France,48.1075655,-1.7126543
Stade Bollaert-Delelis,Lens,France,50.4328242,2.8149863
Stade Louis II,Fontvieille,France,43.7264844,4.707674
Allianz Riviera,Nice,France,43.7051477,7.1926033
Stade Francis-Le Blé,Stade Francis-Le Blé,France,48.4030423,-4.4613605
Stade Raymond Kopa,Angers,France,47.4605516,-0.5306948
Stade Saint-Symphorien,Stade Saint-Symphorien,France,45.6331107,4.4600966
Stade de l'Abbé Deschamps,Stade de l'Abbé Deschamps,France,47.7865,3.5883
Stade de la Beaujoire - Louis Fonteneau,Stade de la Beaujoire - Louis Fonteneau,France,47.256005,-1.5247552
Parc des Princes,Paris,France,48.8413634,2.2530693
Orange Vélodrome,Orange Vélodrome,France,43.2698363,5.3959117
Groupama Stadium,Lyon,France,45.7653624,4.9820543
Stade Yves Allainmat,Stade Yves Allainmat,France,47.7488021,-3.3695412
Stadium de Toulouse,Toulouse,France,43.5832262,1.4340638
Stade Océane,Stade Océane,France,49.4987513,0.1694637
Stade de la Meinau,Strasbourg,France,48.5599481,7.7551221
Decathlon Arena - Stade Pierre-Mauroy,Decathlon Arena - Stade Pierre-Mauroy,France,50.6119044,3.130508
Stade Jean-Bouin,Stade Jean-Bouin,France,48.8433187,2.2529615
Stade Auguste-Delaune,Stade Auguste-Delaune,France,49.2470758,4.0247869
Stade de la Mosson-Mondial 98,Stade de la Mosson-Mondial 98,France,43.6217,3.8122
Stade Geoffroy-Guichard,Stade Geoffroy-Guichard,France,45.4607567,4.3900932
Stade de Nice,Stade de Nice,France,43.7051477,7.1926033
Stade de la Mosson,Montpellier,France,43.622022,3.8120898
Stade Gabriel Montpied,Clermont-Ferrand,France,45.8158775,3.1215004
Stadium Municipal,Stadium Municipal,France,43.9232676,2.1663973
Stade du Moustoir,Stade du Moustoir,France,47.7488021,-3.3695412
Stade Pierre-Mauroy,Stade Pierre-Mauroy,France,50.6119044,3.130508
Stade François Coty,Stade François Coty,France,41.9308308,8.776793
Stade de l'Aube,Troyes,France,48.3075171,4.0985168
Stade Matmut-Atlantique,Stade Matmut-Atlantique,France,44.8974,-0.5615
Stade de l'Aube (Neutral Site),Stade de l'Aube (Neutral Site),France,48.3072,4.0954
Mapei Stadium - Città del Tricolore,Mapei Stadium - Città del Tricolore,Italy,44.7145456,10.6497308
Stadio Comunale Luigi Ferraris,Stadio Comunale Luigi Ferraris,Italy,44.4164753,8.9525341
Stadio Olimpico,Rome,Italy,41.9387659,12.458134
Stadio Giuseppe Meazza,Stadio Giuseppe Meazza,Italy,45.4782003,9.123964
Stadio Giuseppe Sinigaglia,Como,Italy,45.8138295,9.0723243
Unipol Domus,Cagliari,Italy,39.1991949,9.1374283
New Balance Arena,Bergamo,Italy,45.7092068,9.6808327
Allianz Stadium,Turin,Italy,45.1095759,7.6421338
Bluenergy Stadium,Udine,Italy,46.081402,13.1997411
Stadio Giovanni Zini,Cremona,Italy,45.140044,10.0350005
Stadio Comunale Ettore Giardiniero,Stadio Comunale Ettore Giardiniero,Italy,40.3614,18.2086
Stadio Ennio Tardini,Stadio Ennio Tardini,Italy,44.7947582,10.3383727
Stadio Renato Dall'Ara,Stadio Renato Dall'Ara,Italy,44.492317,11.3099971
Stadio Diego Armando Maradona,Naples,Italy,40.8279773,14.192889
Arena Garibaldi - Stadio Romeo Anconetan...,Arena Garibaldi - Stadio Romeo Anconetan...,Italy,43.724,10.4024
Stadio Olimpico Grande Torino,Turin,Italy,45.0417432,7.6500185
Stadio Artemio Franchi,Florence,Italy,43.7808838,11.2828191
Stadio Marc'Antonio Bentegodi,Stadio Marc'Antonio Bentegodi,Italy,45.4353,10.9686
Stadio Carlo Castellani - Computer Gross...,Stadio Carlo Castellani - Computer Gross...,Italy,43.7264,10.955
U-Power Stadium,Monza,Italy,45.583112,9.3079276
Stadio Pier Luigi Penzo,Stadio Pier Luigi Penzo,Italy,45.4277138,12.3640204
Gewiss Stadium,Gewiss Stadium,Italy,45.7091,9.6808
Stadio Carlo Castellani,Stadio Carlo Castellani,Italy,43.7265476,10.9547274
Stadio Benito Stirpe,Frosinone,Italy,41.6340108,13.3217978
Stadio Comunale Via Del Mare,Stadio Comunale Via Del Mare,Italy,40.3614,18.2086
Stadio Olimpico di Torino,Stadio Olimpico di Torino,Italy,45.0417439,7.6492037
Stadio Arechi,Salerno,Italy,40.6455616,14.8235898
Stadio Alberto Picco,La Spezia,Italy,44.1021153,9.8093242
Dacia Arena,Dacia Arena,Italy,46.081402,13.1997411
Stadio Atleti Azzurri d'Italia,Stadio Atleti Azzurri d'Italia,Italy,45.6226887,13.7926383
Stadio Pierluigi Penzo,Venice,Italy,45.4046171,12.3105232
