name,country,matches,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,total_yellow_cards,total_red_cards,career_games,career_yellow_cards,career_red_cards
Damaso Arcediano Monescillo,Spain,45,5.29,0.13,2.47,28.7,238,6,,1797.0,40.0
Jon Ander Gonzalez Esteban,Spain,44,4.45,0.25,2.7,24.6,196,11,,707.0,39.0
Manuel Angel Perez Hernandez,Spain,43,5.79,0.12,2.67,27.0,249,5,,268.0,5.0
Davi de Oliveira Lacerda,Brazil,42,1.57,0.07,2.52,23.0,66,3,,383.0,8.0
Carlos Muniz Munoz,Spain,42,3.67,0.14,2.52,26.7,154,6,,166.0,8.0
Andres Fuentes Molina,Spain,42,4.88,0.21,2.79,25.2,205,9,,448.0,22.0
Iosu Galech Apezteguia,Spain,42,3.45,0.17,2.33,26.9,145,7,,847.0,34.0
Miguel Sesma Espinosa,Spain,42,3.64,0.14,2.93,26.7,153,6,,273.0,10.0
Jose Luis Guzman Mansilla,Spain,41,3.63,0.1,3.0,25.1,149,4,,436.0,10.0
Alvaro Moreno Aragon,Spain,41,4.8,0.29,2.83,29.7,197,12,,1026.0,57.0
Saul Ais Reig,Spain,41,5.24,0.2,1.8,23.0,215,8,,1120.0,24.0
Eder Mallo Fernandez,Spain,41,5.51,0.07,2.34,27.7,226,3,,248.0,3.0
Daniel Palencia Caballero,Spain,41,5.32,0.34,2.59,29.0,218,14,,241.0,16.0
Sergui Claudiu Muresan,Spain,40,4.38,0.23,2.7,22.9,175,9,,187.0,9.0
Salvador Lax Franco,Spain,40,4.92,0.12,2.9,25.3,197,5,,305.0,11.0
German Cid Camacho,Spain,40,5.78,0.15,2.8,24.1,231,6,,352.0,11.0
Chris Kavanagh,England,39,2.28,0.08,2.56,21.7,89,3,,1364.0,32.0
Manuel Jesus Orellana Cid,Spain,39,5.9,0.26,2.38,26.6,230,10,,371.0,14.0
Rafael Sanchez Lopez,Spain,39,4.49,0.18,2.41,22.3,175,7,,622.0,23.0
Michael Oliver,England,38,2.18,0.03,2.82,22.0,83,1,,2269.0,50.0
Jose Antonio Sanchez Villalobos,Spain,38,5.82,0.21,2.79,26.3,221,8,,256.0,10.0
Marta Huerta de Aza,Spain,37,4.22,0.22,2.27,24.8,156,8,,225.0,11.0
Anthony Taylor,England,37,2.76,0.03,3.03,20.8,102,1,,2454.0,67.0
Raphael Claus,Brazil,35,1.63,0.09,2.71,23.8,57,3,,1637.0,56.0
Rubiel Vazquez,USA,35,0.91,0.09,2.89,23.5,32,3,,615.0,20.0
Serdar Gozubuyuk,Netherlands,35,2.2,0.03,3.29,22.8,77,1,,1734.0,48.0
Rosendo Mendoza,USA,35,0.54,0.03,3.03,27.4,19,1,,604.0,13.0
Rodrigo Jose Pereira de Lima,Brazil,35,1.29,0.03,2.43,28.6,45,1,,542.0,24.0
Danny Makkelie,Netherlands,34,1.65,0.06,3.82,22.1,56,2,,1952.0,58.0
Allen Chapman,USA,34,0.5,0.03,3.21,19.8,17,1,,1027.0,39.0
Thomas Kirk,England,33,2.91,0.03,2.55,21.3,96,1,,559.0,7.0
Victor Rivas,USA,33,1.39,0.03,3.21,23.4,46,1,,657.0,14.0
Wilton Pereira Sampaio,Brazil,33,1.94,0.03,2.27,27.8,64,1,,2001.0,52.0
Miguel Gonzalez Diaz,Spain,33,5.12,0.24,2.67,34.0,169,8,,287.0,12.0
Jon Freemon,USA,32,1.09,0.12,3.0,24.0,35,4,,481.0,8.0
Drew Fischer,Canada,32,1.44,0.03,3.25,25.2,46,1,,868.0,29.0
Guido Gonzales Jr,USA,32,0.84,0.12,3.06,24.1,27,4,,653.0,19.0
Anderson Daronco,Brazil,32,1.75,0.09,2.16,27.1,56,3,,1707.0,65.0
Mohammed Al-Hakim,Sweden,31,0.39,0.0,2.42,21.1,12,0,,1282.0,27.0
Rafael Rodrigo Klein,Brazil,31,1.35,0.13,2.16,27.6,42,4,,619.0,31.0
Filip Dujic,USA,31,0.81,0.06,3.26,25.7,25,2,,324.0,10.0
Sergiy Boyko,Ukraine,31,0.55,0.0,3.42,22.1,17,0,,945.0,33.0
François Letexier,France,30,2.23,0.1,3.07,21.8,67,3,,1344.0,64.0
Andrew Kitchen,England,30,1.6,0.07,3.23,20.2,48,2,,410.0,8.0
Matt Donohue,England,30,2.7,0.03,2.1,23.0,81,1,,1002.0,22.0
Sven Jablonski,Germany,30,2.23,0.03,2.93,21.9,67,1,,1234.0,22.0
Nick Walsh,Scotland,30,2.2,0.03,2.5,24.2,66,1,,1039.0,29.0
Bruno Arleu de Araujo,Brazil,29,2.03,0.03,2.03,28.5,59,1,,1145.0,32.0
José María Sánchez Martínez,Spain,29,2.83,0.07,2.48,27.1,82,2,,2131.0,42.0
Jesus Gil Manzano,Spain,29,2.66,0.1,3.14,23.9,77,3,,2190.0,54.0
Felix Zwayer,Germany,29,2.83,0.07,3.14,22.2,82,2,,2385.0,50.0
Farai Hallam,England,29,2.34,0.0,3.24,20.6,68,0,,244.0,1.0
Josh Smith,England,29,2.59,0.1,2.86,19.9,75,3,,739.0,18.0
Istvan Kovacs,Romania,29,3.07,0.17,2.55,24.7,89,5,,2332.0,61.0
Alejandro Hernandez,Spain,29,2.21,0.17,3.66,22.0,64,5,,1932.0,46.0
Maurizio Mariani,Italy,28,2.86,0.11,2.79,21.9,80,3,,1585.0,57.0
Chris Penso,USA,28,0.71,0.0,2.46,22.8,20,0,,1009.0,37.0
Tobias Stieler,Germany,28,2.36,0.14,2.61,21.0,66,4,,1659.0,41.0
Ricardo De Burgos Bengoetxea,Spain,28,2.04,0.11,2.71,21.9,57,3,,1623.0,43.0
Pierre-Luc Lauziere,USA,28,0.96,0.0,2.79,24.2,27,0,,382.0,6.0
Flavio Rodrigues De Souza,Brazil,28,2.0,0.07,1.96,25.6,56,2,,1125.0,35.0
Thomas Bramall,England,28,3.18,0.0,2.57,21.3,89,0,,636.0,14.0
Lewis Smith,England,28,2.5,0.04,2.04,19.6,70,1,,482.0,6.0
Lucas Paulo Torezin,Brazil,27,1.3,0.07,3.19,26.1,35,2,,352.0,12.0
Felipe Fernandes de Lima,Brazil,27,1.59,0.11,2.26,30.9,43,3,,620.0,30.0
Davide Massa,Italy,27,3.0,0.15,2.48,26.4,81,4,,1761.0,51.0
Damian Sylwestrzak,Poland,27,2.15,0.04,2.56,29.2,58,1,,889.0,15.0
David Webb,England,27,1.96,0.0,2.59,19.6,53,0,,1272.0,35.0
Paulo Cesar Zanovelli da Silva,Brazil,27,2.48,0.19,2.56,30.3,67,5,,675.0,27.0
Daniel Siebert,Germany,27,2.37,0.04,2.93,22.0,64,1,,1921.0,37.0
