alias,official
PSG,Paris Saint-Germain
psg,Paris Saint-Germain
paris,Paris Saint-Germain
paris sg,Paris Saint-Germain
paris saint germain,Paris Saint-Germain
OM,Marseille
om,Marseille
olympique marseille,Marseille
OL,Lyon
ol,Lyon
olympique lyonnais,Lyon
LOSC,Lille
losc,Lille
FCB,Barcelona
barca,Barcelona
barcelona fc,Barcelona
real,Real Madrid
atletico,Atlético Madrid
atletico madrid,Atlético Madrid
man city,Manchester City
manchester city fc,Manchester City
man utd,Manchester Utd
manchester united,Manchester Utd
newcastle,Newcastle United
spurs,Tottenham Hotspur
tottenham,Tottenham Hotspur
wolves,Wolves
west ham,West Ham United
nottingham,Nottingham Forest
bvb,Dortmund
borussia dortmund,Dortmund
bayern,Bayern Munich
leverkusen,Leverkusen
bayer leverkusen,Leverkusen
rb leipzig,RB Leipzig
leipzig,RB Leipzig
eintracht,Eintracht Frankfurt
frankfurt,Eintracht Frankfurt
inter milan,Inter
internazionale,Inter
ac milan,Milan
juventus fc,Juventus
roma fc,Roma
as roma,Roma
napoli fc,Napoli
lazio fc,Lazio
