players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
24,26.8,56.0,34,374,3060,34,60,44,104,56,4,4,45,0,1.76,1.29,3.06,1.65,2.94,/en/squads/18bb7c10/Arsenal-Stats
30,28.7,53.9,34,374,3060,34,44,33,77,44,0,0,52,1,1.29,0.97,2.26,1.29,2.26,/en/squads/8602292d/Aston-Villa-Stats
26,25.7,50.4,34,374,3060,34,52,31,83,48,4,5,81,1,1.53,0.91,2.44,1.41,2.32,/en/squads/4ba7cbea/Bournemouth-Stats
24,26.0,47.6,34,374,3060,34,48,31,79,41,7,9,62,1,1.41,0.91,2.32,1.21,2.12,/en/squads/cd051869/Brentford-Stats
28,26.8,52.8,34,374,3060,34,47,30,77,44,3,5,82,0,1.38,0.88,2.26,1.29,2.18,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
26,27.9,41.8,34,374,3060,34,31,24,55,29,2,2,57,3,0.91,0.71,1.62,0.85,1.56,/en/squads/943e8050/Burnley-Stats
27,24.9,58.1,34,374,3060,34,52,35,87,45,7,7,82,7,1.53,1.03,2.56,1.32,2.35,/en/squads/cff3d9bb/Chelsea-Stats
29,27.0,46.2,33,363,2970,33,35,21,56,28,7,7,69,2,1.06,0.64,1.7,0.85,1.48,/en/squads/47c64c55/Crystal-Palace-Stats
22,28.2,44.1,34,374,3060,34,39,31,70,37,2,2,63,4,1.15,0.91,2.06,1.09,2.0,/en/squads/d3fd31cc/Everton-Stats
24,28.9,51.3,34,374,3060,34,40,25,65,36,4,4,68,0,1.18,0.74,1.91,1.06,1.79,/en/squads/fd962109/Fulham-Stats
24,27.5,45.7,34,374,3060,34,43,22,65,38,5,7,55,1,1.26,0.65,1.91,1.12,1.76,/en/squads/5bfb9659/Leeds-United-Stats
24,27.4,59.6,34,374,3060,34,55,39,94,54,1,2,50,1,1.62,1.15,2.76,1.59,2.74,/en/squads/822bd0ba/Liverpool-Stats
27,26.1,60.4,33,363,2970,33,63,50,113,60,3,4,59,0,1.91,1.52,3.42,1.82,3.33,/en/squads/b8fd03ef/Manchester-City-Stats
27,26.8,52.6,34,374,3060,34,57,42,99,53,4,6,56,3,1.68,1.24,2.91,1.56,2.79,/en/squads/19538871/Manchester-United-Stats
25,27.5,52.9,34,374,3060,34,46,26,72,40,6,6,61,3,1.35,0.76,2.12,1.18,1.94,/en/squads/b2b47a98/Newcastle-United-Stats
31,26.6,47.2,34,374,3060,34,40,28,68,38,2,2,55,1,1.18,0.82,2.0,1.12,1.94,/en/squads/e4a775cb/Nottingham-Forest-Stats
29,25.9,44.6,34,374,3060,34,33,20,53,29,4,5,73,2,0.97,0.59,1.56,0.85,1.44,/en/squads/8ef52968/Sunderland-Stats
30,26.0,49.9,34,374,3060,34,42,34,76,42,0,0,87,4,1.24,1.0,2.24,1.24,2.24,/en/squads/361ca564/Tottenham-Hotspur-Stats
32,27.0,42.5,34,374,3060,34,40,27,67,37,3,3,60,3,1.18,0.79,1.97,1.09,1.88,/en/squads/7c21e445/West-Ham-United-Stats
30,26.7,43.5,34,374,3060,34,23,16,39,21,2,4,75,3,0.68,0.47,1.15,0.62,1.09,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
