name,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match
Damaso Arcediano Monescillo,5.29,0.13,2.47,30.0
Jon Ander Gonzalez Esteban,4.45,0.25,2.7,24.9
Manuel Angel Perez Hernandez,5.79,0.12,2.67,27.8
Iosu Galech Apezteguia,3.45,0.17,2.33,28.9
Miguel Sesma Espinosa,3.64,0.14,2.93,27.8
Alvaro Moreno Aragon,4.8,0.29,2.83,27.3
Andres Fuentes Molina,4.85,0.2,2.8,26.3
Carlos Muniz Munoz,3.63,0.15,2.46,25.4
Daniel Palencia Caballero,5.32,0.34,2.59,29.2
Davi de Oliveira Lacerda,1.54,0.05,2.56,23.3
Eder Mallo Fernandez,5.51,0.07,2.34,24.0
Saul Ais Reig,5.24,0.2,1.8,21.4
German Cid Camacho,5.78,0.15,2.8,27.0
Jose Luis Guzman Mansilla,3.48,0.07,2.92,24.5
Salvador Lax Franco,4.92,0.12,2.9,24.4
Manuel Jesus Orellana Cid,5.9,0.26,2.38,28.3
Rafael Sanchez Lopez,4.49,0.18,2.41,22.6
Sergui Claudiu Muresan,4.41,0.23,2.69,24.9
Chris Kavanagh,2.24,0.08,2.55,22.2
Jose Antonio Sanchez Villalobos,5.82,0.21,2.79,28.2
Michael Oliver,2.19,0.03,2.86,23.0
Anthony Taylor,2.67,0.03,3.08,21.0
Marta Huerta de Aza,4.25,0.22,2.31,25.9
Rodrigo Jose Pereira de Lima,1.29,0.03,2.43,28.7
Rosendo Mendoza,0.54,0.03,3.03,27.4
Allen Chapman,0.5,0.03,3.21,19.8
Raphael Claus,1.65,0.12,2.76,23.7
Rubiel Vazquez,0.85,0.09,2.91,23.6
Serdar Gozubuyuk,2.21,0.03,3.32,23.4
Danny Makkelie,1.64,0.06,3.82,22.4
Miguel Gonzalez Diaz,5.12,0.24,2.67,32.2
Thomas Kirk,3.0,0.03,2.55,21.4
Anderson Daronco,1.78,0.09,2.16,27.1
Jesus Gil Manzano,2.75,0.09,3.22,23.7
Victor Rivas,1.16,0.03,3.22,23.3
Wilton Pereira Sampaio,1.88,0.03,2.31,27.7
Drew Fischer,1.35,0.03,3.19,25.3
Guido Gonzales Jr,0.77,0.13,3.13,24.3
Jon Freemon,1.03,0.13,3.0,24.3
Sergiy Boyko,0.55,0.0,3.42,22.4
Bruno Arleu de Araujo,2.33,0.03,2.1,28.7
Filip Dujic,0.77,0.03,3.3,25.7
Mohammed Al-Hakim,0.37,0.0,2.37,22.8
Nick Walsh,2.2,0.03,2.5,24.7
Rafael Rodrigo Klein,1.3,0.13,2.1,27.8
Alejandro Hernandez,2.21,0.17,3.66,22.9
Andrew Kitchen,1.55,0.07,3.17,19.9
François Letexier,2.21,0.1,2.9,22.0
Istvan Kovacs,3.1,0.17,2.55,25.6
Josh Smith,2.59,0.1,2.86,19.9
Juan Martinez Munuera,2.97,0.1,2.38,27.6
Matt Donohue,2.69,0.03,2.17,23.4
Sven Jablonski,2.24,0.03,2.9,22.2
Farai Hallam,2.36,0.0,3.29,20.7
Felix Zwayer,2.89,0.07,3.18,22.7
Flavio Rodrigues De Souza,2.0,0.07,1.96,25.6
José María Sánchez Martínez,2.89,0.07,2.46,26.3
Lewis Smith,2.54,0.04,2.04,19.3
Pierre-Luc Lauziere,1.0,0.0,2.79,24.4
Ricardo De Burgos Bengoetxea,2.04,0.11,2.71,21.6
Thomas Bramall,3.18,0.0,2.57,21.5
Chris Penso,0.44,0.0,2.37,22.7
Daniel Siebert,2.33,0.04,2.93,22.5
Horatiu Fesnic,2.85,0.11,3.3,29.8
Maurizio Mariani,2.81,0.11,2.74,22.7
Paulo Cesar Zanovelli da Silva,2.59,0.19,2.56,30.3
Tobias Stieler,2.33,0.11,2.7,21.4
Alex Gomes Stefano,0.62,0.0,2.46,32.8
Anthony Backhouse,3.31,0.0,3.08,22.0
Damian Sylwestrzak,2.0,0.04,2.58,28.9
Davide Massa,2.88,0.15,2.58,26.5
David Webb,1.96,0.0,2.54,19.9
Felipe Fernandes de Lima,1.5,0.08,2.31,31.3
Gavin Ward,2.15,0.08,3.35,20.3
Lucas Paulo Torezin,1.12,0.08,3.27,26.0
Marco Guida,1.69,0.15,2.42,23.6
Marcos de Oliveira,0.62,0.0,3.12,24.5
Sascha Stegemann,2.35,0.04,2.65,23.5
Adam Herczeg,2.16,0.04,3.08,22.3
Adam Ladeback,0.44,0.0,3.2,24.4
Alexis Da Silva,0.84,0.0,2.56,25.4
Andy Madley,2.48,0.12,3.0,23.3
Benoît Bastien,1.84,0.08,2.72,23.7
Clement Turpin,2.0,0.16,2.92,23.1
Darren England,2.88,0.0,2.52,22.0
Eric Lambrechts,2.2,0.0,2.84,21.3
Granit Maqedonci,0.4,0.0,2.96,24.4
Peter Bankes,2.56,0.08,2.72,22.0
Samuel Barrott,2.08,0.0,2.76,19.7
Stephen Martin,3.04,0.04,2.88,22.6
Urs Schnyder,2.44,0.12,3.56,24.9
Fredrik Klitte,0.54,0.0,2.33,27.1
Glenn Nyberg,1.0,0.04,3.04,25.6
Jair Antonio Maruffo,0.42,0.04,2.75,22.1
Kristoffer Karlsson,0.83,0.0,3.17,27.1
Lawrence Visser,2.71,0.0,3.33,23.0
Lothar D'hondt,2.38,0.0,2.58,26.0
Matheus Delgado Candançan,1.0,0.08,2.96,25.5
Paweł Raczkowski,2.04,0.12,2.88,26.7
Ramon Abatti Abel,1.62,0.0,2.25,30.5
Stuart Attwell,2.79,0.08,3.0,21.9
Tom Nield,2.04,0.0,2.83,23.8
Victor Wolf,0.75,0.0,2.42,25.5
César Soto Grado,3.26,0.09,2.78,23.7
Craig Pawson,2.3,0.09,2.96,22.7
Jasper Vergoote,1.3,0.04,3.0,22.0
John Busby,2.61,0.09,2.74,21.3
Marco Antonio Ortiz Nava,2.65,0.35,3.78,26.3
Oliver Langford,2.65,0.17,2.78,19.7
Oscar Johnson,0.3,0.0,2.48,25.7
Szymon Marciniak,1.26,0.04,3.0,26.3
Adi Aganovic,0.45,0.0,3.09,21.2
Allard Lindhout,1.27,0.09,2.64,19.4
Bram Van Driessche,2.14,0.05,2.73,21.7
Georgi Kabakov,2.14,0.09,2.36,21.9
Halil Umut Meler,2.77,0.09,2.91,25.3
Harm Osmers,2.64,0.05,2.77,21.0
Jarred Gillett,2.5,0.0,2.82,19.9
