id,name,short_name,country,preferred_formation,formations_used,profile,team_style,pressing_intensity,defensive_line,tactical_styles,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,avg_shots,avg_shots_on_target,avg_xg_for,avg_xg_against,avg_corners,avg_yellow_cards,avg_red_cards,avg_fouls,clean_sheet_pct,btts_pct,over_25_pct,over_15_pct,fail_to_score_pct,avg_goals_scored_1h,avg_goals_conceded_1h,current_team_id,current_team_name
662,Abdeslam Ouaddou,A. Ouaddou,Morocco,,{},attacking,soft,,,[],4,3,0,1,75.0,2.5,0.75,,,,,,,0.0,0.25,,75.0,0.0,100.0,100.0,25.0,0.5,0.25,608,Orlando Pirates
28,Abdu Maikaba,A. Maikaba,Nigeria,4-3-3,"{'4-3-3': 33, '4-2-1-3': 1}",defensive,soft,,,"[{""rank"": 1, ""code"": ""terrorist_fb"", ""name"": ""Terrorist Football"", ""category"": ""fan"", ""emoji"": ""💣"", ""description"": ""Ultra-negative setup — destroy the game"", ""score"": 0.097}, {""rank"": 2, ""code"": ""low_block"", ""name"": ""Low Block"", ""category"": ""defensive"", ""emoji"": ""🛡"", ""description"": ""Compact defensive shape near own box"", ""score"": 0.089}, {""rank"": 3, ""code"": ""park_the_bus"", ""name"": ""Park the Bus"", ""category"": ""defensive"", ""emoji"": ""🚌"", ""description"": ""Ultra-deep defense, minimal attacking intent"", ""score"": 0.085}, {""rank"": 4, ""code"": ""low_counter"", ""name"": ""Low Block Counter"", ""category"": ""counter"", ""emoji"": ""🏹"", ""description"": ""Deep defense with rapid forward outlets"", ""score"": 0.079}]",35,9,13,13,25.7,0.91,1.11,46.5,,,,,3.6,1.1,0.05,,31.4,40.0,28.6,57.1,40.0,0.52,0.57,579,Wikki Tourists FC
162,Abel Ferreira,A. Ferreira,Portugal,4-2-3-1,"{'3-4-3': 1, '4-4-2': 8, '3-1-4-2': 1, '3-4-2-1': 3, '4-1-3-2': 3, '4-2-2-2': 1, '4-2-3-1': 20, '4-3-1-2': 1}",attacking,neutral,0.5840726124831077,high,"[{""rank"": 1, ""code"": ""wing_play"", ""name"": ""Wing Play"", ""category"": ""wide"", ""emoji"": ""🪽"", ""description"": ""Attacks focused through wide areas"", ""score"": 0.07}, {""rank"": 2, ""code"": ""heritage"", ""name"": ""Heritage Football"", ""category"": ""fan"", ""emoji"": ""🪨"", ""description"": ""Old-school physical, long balls and grit"", ""score"": 0.07}, {""rank"": 3, ""code"": ""overload_isolate"", ""name"": ""Overload-to-Isolate"", ""category"": ""possession"", ""emoji"": ""⚖"", ""description"": ""Crowd one side to free the other wing"", ""score"": 0.057}, {""rank"": 4, ""code"": ""cross_pray"", ""name"": ""Cross & Pray"", ""category"": ""wide"", ""emoji"": ""🙏"", ""description"": ""High-volume hopeful crosses into the box"", ""score"": 0.053}]",53,34,10,9,64.2,1.77,0.85,52.09,15.26,5.4,1.42,0.92,6.08,1.94,0.12,14.12,37.7,54.7,56.6,69.8,17.0,1.18,0.35,162,Palmeiras
945,Abraham Paz,A. Paz,Spain,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1493,Antequera
1254,Adam Lakeland,A. Lakeland,England,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1889,FC Halifax Town
1174,Adam Nocon,A. Nocon,Poland,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1814,Pogoń Siedlce
1013,Ádám Weitner,Á. Weitner,Hungary,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1585,Gyirmót Győr
753,Adelson Almeida,A. Almeida,Brazil,4-2-3-1,{'4-2-3-1': 1},attacking,hard,,,[],1,0,0,1,0.0,2.0,5.0,,,,,,,4.0,0.0,,0.0,100.0,100.0,100.0,0.0,0.0,1.0,903,Ceilândia
763,Ademir Ferreira dos Santos,A. F. d. Santos,Brazil,4-3-3,"{'4-3-3': 2, '4-2-3-1': 1}",attacking,neutral,,,[],3,1,1,1,33.3,2.67,1.67,40.0,11.0,9.0,1.79,0.65,5.0,1.0,0.33,16.0,0.0,100.0,66.7,100.0,0.0,1.0,0.33,842,Portuguesa
957,Adrián Cantabrana,A. Cantabrana,Spain,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1508,SD Logroñés
