TEAM_ID,recent_TEAM_NAME,recent_GP,recent_W,recent_L,recent_W_PCT,recent_MIN,recent_E_OFF_RATING,recent_OFF_RATING,recent_E_DEF_RATING,recent_DEF_RATING,recent_E_NET_RATING,recent_NET_RATING,recent_AST_PCT,recent_AST_TO,recent_AST_RATIO,recent_OREB_PCT,recent_DREB_PCT,recent_REB_PCT,recent_TM_TOV_PCT,recent_EFG_PCT,recent_TS_PCT,recent_E_PACE,recent_PACE,recent_PACE_PER40,recent_POSS,recent_PIE,recent_GP_RANK,recent_W_RANK,recent_L_RANK,recent_W_PCT_RANK,recent_MIN_RANK,recent_OFF_RATING_RANK,recent_DEF_RATING_RANK,recent_NET_RATING_RANK,recent_AST_PCT_RANK,recent_AST_TO_RANK,recent_AST_RATIO_RANK,recent_OREB_PCT_RANK,recent_DREB_PCT_RANK,recent_REB_PCT_RANK,recent_TM_TOV_PCT_RANK,recent_EFG_PCT_RANK,recent_TS_PCT_RANK,recent_PACE_RANK,recent_PIE_RANK
1610612737,Atlanta Hawks,10,6,4,0.6,485.0,116.0,117.9,110.3,112.4,5.7,5.5,0.637,2.08,19.3,0.324,0.712,0.512,0.134,0.561,0.586,102.2,100.4,83.67,1018,0.514,1,11,11,11,2,12,8,10,14,12,14,9,12,10,11,15,17,14,14
1610612738,Boston Celtics,10,8,2,0.8,480.0,121.7,124.7,110.5,113.0,11.2,11.7,0.602,2.02,19.2,0.33,0.717,0.534,0.136,0.595,0.623,98.2,95.9,79.92,959,0.562,1,3,3,3,8,3,11,6,24,14,15,7,7,6,13,2,3,28,6
1610612751,Brooklyn Nets,10,3,7,0.3,480.0,103.2,104.7,116.9,118.5,-13.7,-13.9,0.62,1.61,17.4,0.23,0.707,0.452,0.146,0.513,0.552,100.2,98.8,82.33,988,0.414,1,20,20,20,8,30,21,28,18,27,26,30,14,29,21,29,29,22,28
1610612766,Charlotte Hornets,10,6,4,0.6,480.0,116.5,120.1,112.1,113.6,4.4,6.6,0.616,1.82,18.1,0.377,0.718,0.542,0.145,0.55,0.584,96.4,94.35,78.63,944,0.525,1,11,11,11,8,9,14,9,20,17,20,2,5,4,20,18,19,29,12
1610612741,Chicago Bulls,10,2,8,0.2,480.0,106.7,108.8,117.1,119.4,-10.4,-10.6,0.621,1.63,17.9,0.294,0.679,0.486,0.153,0.526,0.561,108.6,106.5,88.75,1068,0.45,1,26,26,26,8,27,22,25,17,26,21,15,25,21,23,27,25,2,24
1610612739,Cleveland Cavaliers,10,7,3,0.7,480.0,118.6,120.0,115.9,117.2,2.7,2.8,0.658,2.11,20.2,0.297,0.733,0.523,0.136,0.576,0.613,102.7,101.5,84.58,1015,0.526,1,6,6,6,8,10,18,14,11,11,9,14,3,8,15,10,7,11,11
1610612742,Dallas Mavericks,10,3,7,0.3,480.0,110.5,112.0,117.0,118.5,-6.5,-6.5,0.618,2.17,17.5,0.264,0.708,0.473,0.111,0.502,0.551,106.0,104.6,87.17,1043,0.462,1,20,20,20,8,24,20,22,19,8,25,27,13,24,1,30,30,3,22
1610612743,Denver Nuggets,10,10,0,1.0,490.0,125.9,128.0,117.1,117.4,8.9,10.6,0.682,2.74,21.7,0.317,0.736,0.537,0.116,0.599,0.632,101.5,100.56,83.8,1025,0.55,1,1,1,1,1,1,19,8,5,1,4,11,2,5,2,1,1,13,7
1610612765,Detroit Pistons,10,8,2,0.8,485.0,117.9,120.1,105.0,107.9,13.0,12.3,0.721,1.9,21.9,0.343,0.689,0.53,0.169,0.591,0.622,101.3,98.97,82.47,998,0.582,1,3,3,3,2,8,2,4,2,16,3,4,21,7,27,4,4,21,2
1610612744,Golden State Warriors,10,3,7,0.3,480.0,113.3,113.7,117.5,119.9,-4.2,-6.3,0.7,1.81,19.8,0.287,0.713,0.499,0.155,0.554,0.598,99.1,97.9,81.58,980,0.481,1,20,20,20,8,19,23,21,4,18,11,18,10,17,26,17,15,25,20
1610612745,Houston Rockets,10,9,1,0.9,480.0,124.2,126.8,109.3,110.7,14.9,16.0,0.625,2.33,19.8,0.389,0.715,0.554,0.126,0.572,0.604,99.3,97.7,81.42,975,0.582,1,2,2,2,8,2,6,1,16,5,12,1,9,1,6,13,11,27,3
1610612754,Indiana Pacers,10,3,7,0.3,480.0,112.6,114.2,113.2,115.8,-0.5,-1.5,0.763,2.11,22.6,0.247,0.706,0.487,0.153,0.577,0.605,105.3,103.4,86.17,1034,0.512,1,20,20,20,8,18,16,20,1,10,1,28,15,20,24,9,10,6,15
1610612746,LA Clippers,10,6,4,0.6,480.0,114.5,116.0,111.5,113.6,3.0,2.4,0.565,1.76,17.4,0.273,0.672,0.474,0.135,0.554,0.59,99.8,98.3,81.92,982,0.506,1,11,11,11,8,17,15,16,28,21,28,22,27,23,12,16,16,23,16
1610612747,Los Angeles Lakers,10,7,3,0.7,480.0,116.3,116.5,111.4,113.3,4.9,3.2,0.673,1.91,20.5,0.276,0.713,0.512,0.15,0.591,0.625,100.3,99.35,82.79,997,0.542,1,6,6,6,8,14,13,13,9,15,8,21,11,11,22,3,2,18,9
1610612763,Memphis Grizzlies,10,1,9,0.1,480.0,106.4,108.0,125.4,127.8,-19.1,-19.7,0.633,1.74,18.1,0.245,0.593,0.41,0.143,0.526,0.558,105.1,103.3,86.08,1033,0.382,1,27,27,27,8,29,30,30,15,22,19,29,30,30,19,26,26,7,30
1610612748,Miami Heat,10,5,5,0.5,480.0,121.1,123.6,120.7,123.8,0.4,-0.3,0.681,2.48,21.2,0.286,0.717,0.503,0.123,0.587,0.619,104.2,101.85,84.88,1018,0.503,1,17,17,17,8,4,28,17,6,3,5,20,8,15,4,5,5,9,17
1610612749,Milwaukee Bucks,10,3,7,0.3,480.0,110.4,113.1,120.5,120.4,-10.1,-7.3,0.651,1.46,19.0,0.286,0.705,0.493,0.183,0.577,0.599,99.4,98.3,81.92,980,0.443,1,20,20,20,8,20,24,23,12,29,16,19,16,18,30,8,13,23,26
1610612750,Minnesota Timberwolves,10,5,5,0.5,485.0,109.6,112.3,111.3,112.9,-1.7,-0.6,0.597,1.78,17.7,0.29,0.667,0.471,0.138,0.538,0.568,103.4,101.39,84.49,1026,0.477,1,17,17,17,2,23,10,19,25,20,22,16,28,26,16,21,22,12,21
1610612740,New Orleans Pelicans,10,1,9,0.1,480.0,109.8,112.4,120.3,122.0,-10.5,-9.6,0.561,1.8,16.9,0.29,0.665,0.472,0.129,0.518,0.558,105.2,103.3,86.08,1031,0.442,1,27,27,27,8,22,25,24,29,19,30,17,29,25,9,28,27,7,27
1610612752,New York Knicks,10,6,4,0.6,480.0,118.4,119.7,114.4,117.2,4.0,2.5,0.642,2.13,20.1,0.32,0.685,0.507,0.136,0.572,0.603,94.3,92.65,77.21,929,0.527,1,11,11,11,8,11,17,15,13,9,10,10,23,13,14,12,12,30,10
1610612760,Oklahoma City Thunder,10,7,3,0.7,485.0,119.0,120.7,108.1,109.9,10.9,10.8,0.614,2.19,19.4,0.272,0.697,0.493,0.124,0.58,0.611,101.1,99.51,82.93,1003,0.548,1,6,6,6,2,7,4,7,22,7,13,23,18,19,5,7,8,17,8
1610612753,Orlando Magic,10,7,3,0.7,480.0,108.6,111.8,110.1,112.1,-1.5,-0.3,0.674,1.52,18.6,0.308,0.728,0.52,0.173,0.533,0.583,106.9,104.45,87.04,1041,0.496,1,6,6,6,8,25,7,18,8,28,17,12,4,9,28,25,20,4,18
1610612755,Philadelphia 76ers,10,6,4,0.6,480.0,115.6,116.0,110.2,112.7,5.5,3.4,0.559,2.04,17.4,0.271,0.683,0.486,0.117,0.548,0.584,103.1,101.8,84.83,1017,0.517,1,11,11,11,8,16,9,11,30,13,27,24,24,22,3,19,18,10,13
1610612756,Phoenix Suns,10,5,5,0.5,480.0,113.5,116.4,110.6,113.1,3.0,3.3,0.566,1.71,17.1,0.339,0.674,0.501,0.142,0.542,0.57,101.4,99.0,82.5,989,0.495,1,17,17,17,8,15,12,12,27,23,29,6,26,16,17,20,21,20,19
1610612757,Portland Trail Blazers,10,7,3,0.7,485.0,114.5,117.6,103.6,104.6,10.9,13.0,0.614,1.42,17.6,0.374,0.717,0.546,0.177,0.561,0.598,101.4,99.56,82.97,1006,0.563,1,6,6,6,2,13,1,3,21,30,23,3,6,2,29,14,14,16,5
1610612758,Sacramento Kings,10,3,7,0.3,480.0,111.5,113.0,121.4,123.7,-9.9,-10.8,0.608,1.69,18.2,0.339,0.691,0.506,0.153,0.537,0.567,99.5,97.9,81.58,980,0.449,1,20,20,20,8,21,27,26,23,25,18,5,20,14,25,23,23,25,25
1610612759,San Antonio Spurs,10,8,2,0.8,485.0,120.6,123.1,108.3,109.9,12.3,13.2,0.67,2.43,21.1,0.329,0.742,0.543,0.127,0.576,0.608,101.5,99.71,83.09,1009,0.574,1,3,3,3,2,5,5,2,10,4,6,8,1,3,7,11,9,15,4
1610612761,Toronto Raptors,10,6,4,0.6,480.0,119.3,120.8,106.1,108.8,13.2,12.0,0.716,2.54,22.3,0.306,0.699,0.509,0.128,0.587,0.615,100.9,99.05,82.54,992,0.585,1,11,11,11,8,6,3,5,3,2,2,13,17,12,8,6,6,19,1
1610612762,Utah Jazz,10,1,9,0.1,480.0,109.5,108.7,120.8,122.3,-11.3,-13.6,0.68,2.23,20.6,0.265,0.695,0.471,0.131,0.537,0.557,109.1,108.85,90.71,1091,0.451,1,27,27,27,8,28,26,27,7,6,7,26,19,27,10,22,28,1,23
1610612764,Washington Wizards,10,0,10,0.0,480.0,107.3,109.5,126.2,127.0,-18.9,-17.4,0.584,1.7,17.6,0.271,0.685,0.46,0.143,0.535,0.564,105.2,103.8,86.5,1038,0.407,1,30,30,30,8,26,29,29,26,24,24,25,22,28,18,24,24,5,29
